kind,M,k,d,neg_ratio,trials,mean_ratio,rsd_emp,rsd_theory,rsd_emp_over_theory,q05_emp,q05_chi2,q05_normal,q50_emp,q95_emp,q95_chi2,fail_rate,failed_n,failed_mean_ratio,failed_q05,lemma5_rel_bound,q01_emp,q01_chi2,failed_q01,failed_q05_oslcb95,failed_q01_oslcb95
grid,64,3,26,0.5,1000000,1.000278,0.174905,0.174714,1.0011,0.7264,0.7261,0.7126,0.9954,1.2913,1.3100,0.00965,9648,0.997780,0.6995,1.77013,0.6456,0.6326,0.6187,0.6995,0.6187
grid,64,3,51,0.5,1000000,0.999972,0.176399,0.176419,0.9999,0.7328,0.7261,0.7098,0.9934,1.3088,1.3100,0.68252,682517,0.999118,0.7191,0.12032,0.6368,0.6326,0.6368,0.7191,0.6368
grid,64,3,102,0.5,1000000,0.999610,0.177418,0.177299,1.0007,0.7269,0.7261,0.7084,0.9875,1.3098,1.3100,1.00000,1000000,0.999610,0.7269,NaN,0.6309,0.6326,0.6309,0.7269,0.6309
grid,64,3,512,0.5,1000000,0.999948,0.177956,0.178000,0.9998,0.7268,0.7261,0.7072,0.9891,1.3087,1.3100,1.00000,1000000,0.999948,0.7268,NaN,0.6339,0.6326,0.6339,0.7254,0.6325
grid,64,3,26,0.9,1000000,0.999790,0.174581,0.174714,0.9992,0.7230,0.7261,0.7126,0.9920,1.3148,1.3100,0.00953,9534,1.058349,0.7499,1.78078,0.6423,0.6326,0.6692,0.7499,0.6423
grid,64,3,51,0.9,1000000,1.000178,0.176543,0.176419,1.0007,0.7311,0.7261,0.7098,0.9916,1.3071,1.3100,0.68353,683534,1.022390,0.7585,0.12004,0.6351,0.6326,0.6625,0.7585,0.6625
grid,64,3,102,0.9,1000000,0.999958,0.177327,0.177299,1.0002,0.7284,0.7261,0.7084,0.9890,1.3113,1.3100,1.00000,1000000,0.999958,0.7284,NaN,0.6324,0.6326,0.6324,0.7284,0.6324
grid,64,3,512,0.9,1000000,0.999891,0.178037,0.178000,1.0002,0.7261,0.7261,0.7072,0.9897,1.3094,1.3100,1.00000,1000000,0.999891,0.7261,NaN,0.6332,0.6326,0.6332,0.7261,0.6318
grid,64,3,26,-1,1000000,1.000080,0.174830,0.174714,1.0007,0.7264,0.7261,0.7126,0.9920,1.3047,1.3100,0.00968,9678,1.001863,0.7188,1.76735,0.6381,0.6326,0.6154,0.7121,0.6112
grid,64,3,51,-1,1000000,1.000004,0.176407,0.176419,0.9999,0.7268,0.7261,0.7098,0.9882,1.3037,1.3100,0.68320,683202,0.999829,0.7251,0.12013,0.6368,0.6326,0.6308,0.7251,0.6291
grid,64,3,102,-1,1000000,1.000064,0.177141,0.177299,0.9991,0.7267,0.7261,0.7084,0.9907,1.3089,1.3100,1.00000,1000000,1.000064,0.7267,NaN,0.6341,0.6326,0.6341,0.7260,0.6324
grid,64,3,512,-1,1000000,1.000291,0.178160,0.178000,1.0009,0.7264,0.7261,0.7072,0.9897,1.3107,1.3100,1.00000,1000000,1.000291,0.7264,NaN,0.6323,0.6326,0.6323,0.7257,0.6318
grid,64,4,26,0,1000000,1.000292,0.174730,0.174714,1.0001,0.7282,0.7261,0.7126,0.9949,1.3026,1.3100,0.00064,636,1.099532,0.8103,6.92566,0.6462,0.6326,0.7282,0.7692,0.6051
grid,64,4,51,0,1000000,1.000181,0.176598,0.176419,1.0010,0.7307,0.7261,0.7098,0.9922,1.3059,1.3100,0.95146,951460,0.999497,0.7307,0.03985,0.6366,0.6326,0.6366,0.7307,0.6366
grid,64,4,102,0,1000000,1.000244,0.177320,0.177299,1.0001,0.7294,0.7261,0.7084,0.9908,1.3098,1.3100,1.00000,1000000,1.000244,0.7294,NaN,0.6353,0.6326,0.6353,0.7294,0.6353
grid,64,4,512,0,1000000,0.999900,0.177870,0.178000,0.9993,0.7271,0.7261,0.7072,0.9896,1.3104,1.3100,1.00000,1000000,0.999900,0.7271,NaN,0.6344,0.6326,0.6344,0.7260,0.6333
grid,64,4,26,0.1,1000000,1.000107,0.174899,0.174714,1.0011,0.7385,0.7261,0.7126,0.9846,1.3128,1.3100,0.00070,698,1.056645,0.7559,6.61072,0.6359,0.6326,0.6359,0.7179,0.5538
grid,64,4,51,0.1,1000000,1.000307,0.176585,0.176419,1.0009,0.7307,0.7261,0.7098,0.9922,1.3059,1.3100,0.95168,951683,0.999858,0.7307,0.03975,0.6366,0.6326,0.6366,0.7307,0.6366
grid,64,4,102,0.1,1000000,0.999804,0.177279,0.177299,0.9999,0.7294,0.7261,0.7084,0.9908,1.3098,1.3100,1.00000,1000000,0.999804,0.7294,NaN,0.6353,0.6326,0.6353,0.7294,0.6353
grid,64,4,512,0.1,1000000,0.999526,0.177887,0.178000,0.9994,0.7266,0.7261,0.7072,0.9891,1.3099,1.3100,1.00000,1000000,0.999526,0.7266,NaN,0.6328,0.6326,0.6328,0.7255,0.6318
grid,64,4,26,0.5,1000000,1.000219,0.174770,0.174714,1.0003,0.7385,0.7261,0.7126,0.9846,1.3128,1.3100,0.00063,631,0.989687,0.6974,6.95307,0.6359,0.6326,0.5949,0.6564,0.5538
grid,64,4,51,0.5,1000000,0.999917,0.176495,0.176419,1.0004,0.7307,0.7261,0.7098,0.9922,1.3059,1.3100,0.95130,951302,0.999954,0.7307,0.03992,0.6366,0.6326,0.6366,0.7307,0.6366
grid,64,4,102,0.5,1000000,1.000115,0.177181,0.177299,0.9993,0.7268,0.7261,0.7084,0.9882,1.3072,1.3100,1.00000,1000000,1.000115,0.7268,NaN,0.6327,0.6326,0.6327,0.7268,0.6327
grid,64,4,512,0.5,1000000,1.000019,0.178069,0.178000,1.0004,0.7260,0.7261,0.7072,0.9896,1.3094,1.3100,1.00000,1000000,1.000019,0.7260,NaN,0.6333,0.6326,0.6333,0.7260,0.6323
grid,64,4,26,0.9,1000000,1.000198,0.174931,0.174714,1.0012,0.7385,0.7261,0.7126,0.9846,1.3128,1.3100,0.00065,646,1.039232,0.7590,6.87182,0.6359,0.6326,0.6656,0.7179,0.6154
grid,64,4,51,0.9,1000000,1.000060,0.176273,0.176419,0.9992,0.7307,0.7261,0.7098,0.9922,1.3059,1.3100,0.95168,951684,0.999722,0.7307,0.03975,0.6366,0.6326,0.6366,0.7307,0.6366
grid,64,4,102,0.9,1000000,0.999897,0.177255,0.177299,0.9998,0.7294,0.7261,0.7084,0.9908,1.3098,1.3100,1.00000,1000000,0.999897,0.7294,NaN,0.6353,0.6326,0.6353,0.7294,0.6353
grid,64,4,512,0.9,1000000,0.999730,0.177845,0.178000,0.9991,0.7266,0.7261,0.7072,0.9891,1.3099,1.3100,1.00000,1000000,0.999730,0.7266,NaN,0.6328,0.6326,0.6328,0.7266,0.6318
grid,64,4,26,-1,1000000,1.000063,0.174689,0.174714,0.9999,0.7282,0.7261,0.7126,0.9949,1.3026,1.3100,0.00064,640,1.012212,0.7379,6.90397,0.6359,0.6326,0.6502,0.7179,0.6051
grid,64,4,51,-1,1000000,1.000206,0.176497,0.176419,1.0004,0.7307,0.7261,0.7098,0.9922,1.3059,1.3100,0.95125,951247,1.000226,0.7307,0.03994,0.6366,0.6326,0.6366,0.7307,0.6366
grid,64,4,102,-1,1000000,1.000095,0.177241,0.177299,0.9997,0.7268,0.7261,0.7084,0.9908,1.3072,1.3100,1.00000,1000000,1.000095,0.7268,NaN,0.6353,0.6326,0.6353,0.7268,0.6327
grid,64,4,512,-1,1000000,1.000018,0.177774,0.178000,0.9987,0.7266,0.7261,0.7072,0.9896,1.3094,1.3100,1.00000,1000000,1.000018,0.7266,NaN,0.6339,0.6326,0.6339,0.7260,0.6333
grid,256,3,102,0,1000000,0.999890,0.088109,0.088126,0.9998,0.8605,0.8589,0.8550,0.9994,1.1515,1.1500,0.00200,1998,1.020166,0.8804,1.96958,0.8076,0.8056,0.8275,0.8738,0.8076
grid,256,3,205,0,1000000,0.999849,0.088326,0.088345,0.9998,0.8614,0.8589,0.8547,0.9963,1.1510,1.1500,0.54260,542598,1.024893,0.8877,0.08111,0.8088,0.8056,0.8384,0.8877,0.8384
grid,256,3,410,0,1000000,0.999912,0.088471,0.088453,1.0002,0.8590,0.8589,0.8545,0.9972,1.1503,1.1500,1.00000,1000000,0.999912,0.8590,NaN,0.8064,0.8056,0.8064,0.8590,0.8064
grid,256,3,2048,0,1000000,0.999813,0.088510,0.088540,0.9997,0.8590,0.8589,0.8544,0.9970,1.1495,1.1500,1.00000,1000000,0.999813,0.8590,NaN,0.8050,0.8056,0.8050,0.8587,0.8047
grid,256,3,102,0.1,1000000,1.000103,0.088142,0.088126,1.0002,0.8585,0.8589,0.8550,0.9973,1.1494,1.1500,0.00192,1917,1.012950,0.8717,2.01084,0.8122,0.8056,0.8188,0.8651,0.7989
grid,256,3,205,0.1,1000000,0.999898,0.088181,0.088345,0.9981,0.8604,0.8589,0.8547,0.9986,1.1500,1.1500,0.54332,543317,1.015685,0.8768,0.08100,0.8077,0.8056,0.8242,0.8768,0.8242
grid,256,3,410,0.1,1000000,1.000040,0.088425,0.088453,0.9997,0.8586,0.8589,0.8545,0.9968,1.1499,1.1500,1.00000,1000000,1.000040,0.8586,NaN,0.8060,0.8056,0.8060,0.8586,0.8060
grid,256,3,2048,0.1,1000000,0.999936,0.088523,0.088540,0.9998,0.8591,0.8589,0.8544,0.9971,1.1499,1.1500,1.00000,1000000,0.999936,0.8591,NaN,0.8057,0.8056,0.8057,0.8587,0.8050
grid,256,3,102,0.5,1000000,1.000119,0.088125,0.088126,1.0000,0.8597,0.8589,0.8550,0.9986,1.1507,1.1500,0.00193,1928,1.000308,0.8531,2.00509,0.8068,0.8056,0.8002,0.8399,0.7804
grid,256,3,205,0.5,1000000,0.999918,0.088328,0.088345,0.9998,0.8604,0.8589,0.8547,0.9986,1.1500,1.1500,0.54254,542544,0.999894,0.8571,0.08112,0.8045,0.8056,0.8045,0.8571,0.8045
grid,256,3,410,0.5,1000000,1.000042,0.088521,0.088453,1.0008,0.8588,0.8589,0.8545,0.9971,1.1501,1.1500,1.00000,1000000,1.000042,0.8588,NaN,0.8062,0.8056,0.8062,0.8588,0.8046
grid,256,3,2048,0.5,1000000,0.999984,0.088623,0.088540,1.0009,0.8590,0.8589,0.8544,0.9974,1.1499,1.1500,1.00000,1000000,0.999984,0.8590,NaN,0.8053,0.8056,0.8053,0.8587,0.8050
grid,256,3,102,0.9,1000000,0.999968,0.088104,0.088126,0.9997,0.8585,0.8589,0.8550,0.9973,1.1494,1.1500,0.00203,2030,1.011491,0.8717,1.95396,0.8055,0.8056,0.8207,0.8651,0.7989
grid,256,3,205,0.9,1000000,1.000147,0.088331,0.088345,0.9998,0.8586,0.8589,0.8547,0.9968,1.1515,1.1500,0.54248,542478,1.016244,0.8784,0.08113,0.8060,0.8056,0.8257,0.8784,0.8257
grid,256,3,410,0.9,1000000,0.999928,0.088436,0.088453,0.9998,0.8586,0.8589,0.8545,0.9968,1.1499,1.1500,1.00000,1000000,0.999928,0.8586,NaN,0.8060,0.8056,0.8060,0.8586,0.8060
grid,256,3,2048,0.9,1000000,0.999929,0.088613,0.088540,1.0008,0.8587,0.8589,0.8544,0.9971,1.1502,1.1500,1.00000,1000000,0.999929,0.8587,NaN,0.8057,0.8056,0.8057,0.8584,0.8054
grid,256,3,102,-1,1000000,0.999853,0.088006,0.088126,0.9986,0.8593,0.8589,0.8550,0.9978,1.1489,1.1500,0.00199,1993,1.000672,0.8560,1.97205,0.8064,0.8056,0.7969,0.8465,0.7828
grid,256,3,205,-1,1000000,1.000193,0.088310,0.088345,0.9996,0.8600,0.8589,0.8547,0.9982,1.1498,1.1500,0.54345,543451,1.000097,0.8591,0.08097,0.8064,0.8056,0.8050,0.8587,0.8046
grid,256,3,410,-1,1000000,0.999998,0.088430,0.088453,0.9997,0.8592,0.8589,0.8545,0.9974,1.1499,1.1500,1.00000,1000000,0.999998,0.8592,NaN,0.8060,0.8056,0.8060,0.8588,0.8054
grid,256,3,2048,-1,1000000,1.000092,0.088488,0.088540,0.9994,0.8593,0.8589,0.8544,0.9975,1.1498,1.1500,1.00000,1000000,1.000092,0.8593,NaN,0.8060,0.8056,0.8060,0.8590,0.8055
grid,256,4,102,0,1000000,0.999899,0.088127,0.088126,1.0000,0.8609,0.8589,0.8550,0.9953,1.1497,1.1500,0.00003,31,1.031957,0.9206,15.82770,0.8111,0.8056,0.9052,0.9007,0.9007
grid,256,4,205,0,1000000,0.999988,0.088415,0.088345,1.0008,0.8591,0.8589,0.8547,0.9978,1.1515,1.1500,0.98253,982529,0.999959,0.8591,0.01178,0.8070,0.8056,0.8070,0.8591,0.8070
grid,256,4,410,0,1000000,0.999911,0.088500,0.088453,1.0005,0.8596,0.8589,0.8545,0.9971,1.1495,1.1500,1.00000,1000000,0.999911,0.8596,NaN,0.8063,0.8056,0.8063,0.8596,0.8063
grid,256,4,2048,0,1000000,0.999749,0.088381,0.088540,0.9982,0.8589,0.8589,0.8544,0.9973,1.1493,1.1500,1.00000,1000000,0.999749,0.8589,NaN,0.8058,0.8056,0.8058,0.8586,0.8053
grid,256,4,102,0.1,1000000,0.999945,0.088070,0.088126,0.9994,0.8609,0.8589,0.8550,0.9953,1.1497,1.1500,0.00003,32,1.005447,0.8823,15.57843,0.8061,0.8056,0.8590,0.8559,0.8559
grid,256,4,205,0.1,1000000,0.999965,0.088374,0.088345,1.0003,0.8591,0.8589,0.8547,0.9978,1.1490,1.1500,0.98269,982688,0.999918,0.8591,0.01173,0.8070,0.8056,0.8070,0.8591,0.8070
grid,256,4,410,0.1,1000000,0.999936,0.088343,0.088453,0.9988,0.8598,0.8589,0.8545,0.9973,1.1497,1.1500,1.00000,1000000,0.999936,0.8598,NaN,0.8065,0.8056,0.8065,0.8598,0.8053
grid,256,4,2048,0.1,1000000,0.999915,0.088570,0.088540,1.0003,0.8591,0.8589,0.8544,0.9975,1.1500,1.1500,1.00000,1000000,0.999915,0.8591,NaN,0.8055,0.8056,0.8055,0.8588,0.8050
grid,256,4,102,0.5,1000000,1.000052,0.088130,0.088126,1.0000,0.8615,0.8589,0.8550,0.9960,1.1503,1.1500,0.00004,38,0.997920,0.8326,14.29570,0.8067,0.8056,0.7567,0.7420,0.7420
grid,256,4,205,0.5,1000000,1.000023,0.088376,0.088345,1.0004,0.8597,0.8589,0.8547,0.9985,1.1496,1.1500,0.98286,982859,1.000011,0.8597,0.01167,0.8052,0.8056,0.8052,0.8597,0.8052
grid,256,4,410,0.5,1000000,1.000067,0.088516,0.088453,1.0007,0.8585,0.8589,0.8545,0.9973,1.1497,1.1500,1.00000,1000000,1.000067,0.8585,NaN,0.8053,0.8056,0.8053,0.8585,0.8053
grid,256,4,2048,0.5,1000000,0.999981,0.088630,0.088540,1.0010,0.8589,0.8589,0.8544,0.9973,1.1500,1.1500,1.00000,1000000,0.999981,0.8589,NaN,0.8051,0.8056,0.8051,0.8586,0.8046
grid,256,4,102,0.9,1000000,1.000011,0.088156,0.088126,1.0003,0.8609,0.8589,0.8550,0.9953,1.1497,1.1500,0.00003,27,1.006766,0.8385,16.95968,0.8061,0.8056,0.8236,0.8210,0.8210
grid,256,4,205,0.9,1000000,0.999998,0.088320,0.088345,0.9997,0.8603,0.8589,0.8547,0.9966,1.1502,1.1500,0.98269,982694,0.999946,0.8603,0.01172,0.8058,0.8056,0.8058,0.8603,0.8058
grid,256,4,410,0.9,1000000,1.000094,0.088465,0.088453,1.0001,0.8598,0.8589,0.8545,0.9973,1.1497,1.1500,1.00000,1000000,1.000094,0.8598,NaN,0.8065,0.8056,0.8065,0.8598,0.8053
