M,k,d,load,sign_mode,neg_ratio,rho,abs_rho,trials,failed_n,success_n,fail_rate,failed_mean,failed_variance,variance_ratio_to_unconditional_exact,effective_df_from_moments,ks_failed_vs_chi2,ks_all_vs_chi2,ks_failed_vs_all,ks_failed_vs_success,failed_q01,chi2_q01,error_q01,failed_q50,chi2_q50,error_q50,failed_q99,chi2_q99,error_q99,rho2,mean_bias
4096,3,3297,0.804931640625,fixed:0.35,0.35,0.299969669396421,0.299969669396421,300000,29095,270905,0.0969833333333333,1.0012998820398695,0.0004905867682209,1.0047811641242206,4087.356279129842,0.0243060378432951,0.0028690816934955,0.0224835618949418,0.0248982800925879,0.95123845,0.9493075447102594,0.0019309052897406,1.0010171,0.9998372045498432,0.0011798954501569,1.0534384616000003,1.0521289049035325,0.0013095566964678,0.08998180255779811,0.0012998820398695266
4096,3,3297,0.804931640625,fixed:0.3,0.3,0.400060661207158,0.400060661207158,300000,28774,271226,0.0959133333333333,1.0024725727670811,0.0004875114984595,0.9984826389069196,4122.779718327631,0.0445495870732891,0.0026304429676909,0.042631148027154,0.0471538289402425,0.95189352,0.9493075447102594,0.0025859752897406,1.00227923,0.9998372045498432,0.0024420254501569,1.0540814,1.0521289049035325,0.0019524950964675,0.16004853264550845,0.002472572767081127
4096,3,3297,0.804931640625,fixed:0.25,0.25,0.5001516530178951,0.5001516530178951,300000,29425,270575,0.0980833333333333,1.0034769560968564,0.0004857027954254,0.9947781958646192,4146.428683966836,0.0672591452143376,0.0026778153864985,0.0652709855564995,0.0723691976973108,0.952540054,0.9493075447102594,0.0032325092897406,1.0032819,0.9998372045498432,0.0034446954501567,1.05508407,1.0521289049035325,0.0029551650964674,0.25015167601653293,0.0034769560968563873
4096,3,3297,0.804931640625,fixed:0.2,0.2,0.6002426448286321,0.6002426448286321,300000,29019,270981,0.09673,1.0053787968262171,0.0004854474600854,0.994255238139892,4164.349834808981,0.0988344809157982,0.002678005781094,0.0965021747820393,0.106836466153021,0.954687593,0.9493075447102594,0.0053800482897405,1.00523922,0.9998372045498432,0.0054020154501568,1.05704139,1.0521289049035325,0.0049124850964674,0.3602912326708714,0.005378796826217114
4096,3,3297,0.804931640625,fixed:0.15,0.15,0.6997270245677889,0.6997270245677889,300000,29530,270470,0.0984333333333333,1.0071982744859465,0.0004873107568235,0.9980714957049956,4163.455659136249,0.1329509893540772,0.0030410512585529,0.1311535252285811,0.1454729085243255,0.95658023,0.9493075447102594,0.0072726852897406,1.00716829,0.9998372045498432,0.0073310854501569,1.05937516,1.0521289049035325,0.0072462550964675,0.48961790891049106,0.007198274485946454
4096,3,3297,0.804931640625,fixed:0.1,0.1,0.7998180163785259,0.7998180163785259,300000,28990,271010,0.0966333333333333,1.0092928584867196,0.0004721882621289,0.9670987936104106,4314.686136412352,0.1700922382957877,0.0029915458605809,0.1683848959411291,0.1863970657257619,0.95972855,0.9493075447102594,0.0104210052897406,1.00910249,0.9998372045498432,0.0092652854501569,1.0603198685,1.0521289049035325,0.0081909635964674,0.6397088593236799,0.009292858486719568
4096,3,3297,0.804931640625,fixed:0.05,0.05,0.899909008189263,0.899909008189263,300000,29118,270882,0.09706,1.0117925933141012,0.0004672138517186,0.9569105981541676,4382.251288652463,0.2118380909056284,0.0029951121551399,0.2097438539734871,0.2322899129216639,0.96281975,0.9493075447102594,0.0135122052897406,1.01158664,0.9998372045498432,0.0117494354501568,1.0627473587999996,1.0521289049035325,0.010618453896467,0.809836223020183,0.011792593314101207
4096,3,3297,0.804931640625,fixed:0,0.0,1.0,1.0,300000,28927,271073,0.0964233333333333,1.0144883116178656,0.0004446230140852,0.9106418245013548,4629.479364790351,0.2678785367876187,0.0032773005963142,0.2667592150355492,0.2952258783082961,0.9660562,0.9493075447102594,0.0167486552897406,1.01441839,0.9998372045498432,0.0145811854501567,1.06379233,1.0521289049035325,0.0116634250964675,1.0,0.014488311617865568
4096,3,3318,0.81005859375,fixed:0.5,0.5,0.0,0.0,300000,78469,221531,0.2615633333333333,0.9999337436846396,0.000488675927095,1.0008656079869676,4092.149567108256,0.0045136472356458,0.0027284989484373,0.002727402965927,0.0036934825815715,0.94986186,0.9493075447102594,0.0005543152897405,0.9997276,0.9998372045498432,-0.0001096045498431,1.0520062,1.0521289049035325,-0.0001227049035326,0.0,-6.625631536039123e-05
4096,3,3318,0.81005859375,fixed:0.45,0.45,0.1000602772754671,0.1000602772754671,300000,78719,221281,0.2623966666666666,1.000067519858738,0.0004901889227927,1.0039644006117967,4080.610547371726,0.0034847112537792,0.0025469678957674,0.0019772071545623,0.0026805832690954,0.94944048,0.9493075447102594,0.0001329352897406,0.99990943,0.9998372045498432,7.222545015683757e-05,1.05218802,1.0521289049035325,5.911509646749913e-05,0.010012059088443357,6.751985873809652e-05
4096,3,3318,0.81005859375,fixed:0.4,0.4,0.2001205545509343,0.2001205545509343,300000,78418,221582,0.2613933333333333,1.0005587451397635,0.0004894072436612,1.002363430079299,4091.1441971572954,0.0124099568622552,0.00314636059779,0.0096743045389238,0.0130980465998012,0.94998596,0.9493075447102594,0.0006784152897406,1.00025384,0.9998372045498432,0.0004166354501569,1.05313565,1.0521289049035325,0.0010067450964674,0.04004823635377347,0.0005587451397635057
